Repair Level,A,B,C,Random
0.0,0.9984910639174721,0.9984910639174721,0.9984910639174721,0.9984910639174721
0.1,0.9934215988420654,0.9908783638471518,0.982706002034588,0.9825374533240107
0.2,0.9786878407859871,0.9832486588624112,0.9628687690742624,0.9775870226495457
0.30000000000000004,0.9669889598093849,0.9680232587217706,0.9338758901322483,0.9731622438884838
0.4,0.951746554754324,0.954255779920397,0.9079348931841302,0.9721619548049386
0.5,0.9242796168092579,0.9182098626503059,0.8652085452695829,0.9706530187224107
0.6,0.8797397447862432,0.8883187241112681,0.7792472024415056,0.9696527296388656
0.7,0.8041213910820227,0.8096484884131514,0.6948118006103764,0.9696527296388656
0.7999999999999999,0.692253061134668,0.6938300168748768,0.641912512716175,0.9686524405553205
0.8999999999999999,0.5817746328688991,0.5706524185489606,0.5645981688708037,0.9681607984707581
0.9999999999999999,0.5,0.5,0.5,0.9681607984707581
