Repair Level,A,B,C,Random
0.0,1.0,1.0,1.0,1.0
0.1,0.94009900990099,1.0,1.0,0.998989898989899
0.2,0.9113861386138614,1.0,1.0,0.997979797979798
0.30000000000000004,0.8846534653465347,1.0,1.0,0.9964646464646465
0.4,0.849009900990099,1.0,1.0,0.9949494949494949
0.5,0.805940594059406,0.9955445544554455,0.9984848484848485,0.9919191919191919
0.6,0.7599009900990099,0.9845934593459346,0.984968496849685,0.9883838383838384
0.7,0.7138613861386138,0.9695919591959196,0.9694819481948195,0.9818181818181818
0.7999999999999999,0.6554455445544555,0.9356785678567857,0.935923592359236,0.9686868686868687
0.8999999999999999,0.5861386138613862,0.8313931393139313,0.8338033803380338,0.9292929292929293
0.9999999999999999,0.5,0.5410891089108911,0.5407740774077407,0.5
