Repair Level,A,B,C,Random
0.0,0.9994913530010173,0.9994913530010173,0.9994913530010173,0.9994913530010173
0.1,0.9323499491353001,0.9985250737463127,0.9928789420142421,0.9820628161538685
0.2,0.9089521871820956,0.9985250737463127,0.9842319430315362,0.9766037384804208
0.30000000000000004,0.8723296032553408,0.9985250737463127,0.9710071210579858,0.9721789597193589
0.4,0.8387589013224822,0.9985250737463127,0.9323499491353001,0.9711616657213935
0.5,0.8082400813835198,0.9985250737463127,0.917090539165819,0.9696697345532859
0.6,0.7558494404883012,0.9985250737463127,0.8774160732451679,0.9681607984707581
0.7,0.7105798575788402,0.9847916047737796,0.7990844354018312,0.9681607984707581
0.7999999999999999,0.6515768056968464,0.9278431466693875,0.6831129196337742,0.9681607984707581
0.8999999999999999,0.5844354018311292,0.8418352903989252,0.5,0.9681607984707581
0.9999999999999999,0.5,0.5390367816298911,0.5,0.9681607984707581
