Repair Level,A,B,C,Random
0.0,0.9990089197224975,0.9990089197224975,0.9990089197224975,0.9990089197224975
0.1,0.9848637739656912,0.9853683148335015,0.9831516352824579,0.9979818365287588
0.2,0.9767911200807265,0.9737638748738647,0.9643211100099108,0.9969727547931383
0.30000000000000004,0.9687184661957619,0.9651866801210898,0.9474727452923687,0.9939455095862765
0.4,0.9460141271442987,0.9475277497477296,0.9167492566897919,0.9909182643794148
0.5,0.91372351160444,0.9147325933400605,0.8602576808721507,0.9853683148335015
0.6,0.8657921291624622,0.8673057517658931,0.7804757185332012,0.9767911200807265
0.7,0.7749747729566094,0.7714429868819375,0.7125867195242814,0.9646821392532795
0.7999999999999999,0.6579212916246215,0.670534813319879,0.6506442021803767,0.9399596367305751
0.8999999999999999,0.5797174571140262,0.5797174571140262,0.5773042616451933,0.8668012108980827
0.9999999999999999,0.5,0.5,0.5,0.5
