Repair Level,A,B,C,Random
0.0,0.9994892747701737,0.9994892747701737,0.9994892747701737,0.9994892747701737
0.1,0.9671390083026614,0.9994892747701737,0.9994892747701737,0.9974463738508682
0.2,0.9400495618567788,0.9921435352990668,0.9908069458631257,0.9948927477017364
0.30000000000000004,0.9027035922841973,0.9838183638984792,0.9831460674157303,0.991317671092952
0.4,0.8746137046437479,0.9769623403921129,0.9749744637385087,0.9872318692543411
0.5,0.8296068566237711,0.9686371689915253,0.9673135852911133,0.9811031664964249
0.6,0.787174644018012,0.9520078354554359,0.9499489274770173,0.9713993871297242
0.7,0.7228232650598914,0.9275220372184133,0.9244126659856997,0.9560776302349336
0.7999999999999999,0.6624736508800381,0.8736532810969637,0.865679264555669,0.924923391215526
0.8999999999999999,0.5878657487952187,0.7350636630754163,0.7323799795709909,0.8319713993871297
0.9999999999999999,0.5,0.5140742067251658,0.5146169460732183,0.5
