Repair Level,Disease,Fever,Cough,Fatigue,Difficulty Breathing,Age,Gender,Blood Pressure,Cholesterol Level
0.0,0.6790322580645161,0.6790322580645161,0.6790322580645161,0.6790322580645161,0.6790322580645161,0.6790322580645161,0.6790322580645161,0.6790322580645161,0.6790322580645161
0.1,0.6709677419354838,0.660850439882698,0.6951612903225806,0.6961876832844575,0.6447214076246335,0.628592375366569,0.6790322580645161,0.6810850439882699,0.6436950146627566
0.2,0.628592375366569,0.6709677419354838,0.669941348973607,0.6366568914956012,0.6447214076246335,0.6558651026392962,0.6709677419354838,0.6426686217008798,0.6366568914956012
0.30000000000000004,0.6174486803519061,0.6306451612903226,0.669941348973607,0.669941348973607,0.6639296187683285,0.6538123167155425,0.6527859237536657,0.6709677419354838,0.6244868035190616
0.4,0.5467741935483871,0.6618768328445748,0.6629032258064516,0.6013196480938416,0.6296187683284458,0.6436950146627566,0.6709677419354838,0.6447214076246335,0.6234604105571848
0.5,0.6335777126099706,0.6033724340175953,0.6538123167155425,0.6780058651026393,0.6618768328445748,0.6517595307917888,0.6538123167155425,0.6790322580645161,0.6052785923753665
0.6,0.603225806451613,0.6821114369501466,0.6538123167155425,0.6436950146627566,0.6912023460410557,0.6255131964809384,0.6447214076246335,0.6598240469208212,0.6557184750733138
0.7,0.6174486803519061,0.637683284457478,0.6114369501466276,0.660850439882698,0.6316715542521993,0.6164222873900294,0.6709677419354838,0.680058651026393,0.5970674486803519
0.7999999999999999,0.6294721407624634,0.6326979472140762,0.637683284457478,0.6164222873900294,0.6508797653958944,0.5912023460410557,0.6618768328445748,0.6780058651026393,0.6162756598240469
0.8999999999999999,0.5840175953079179,0.6589442815249267,0.6538123167155425,0.6174486803519061,0.6428152492668622,0.6234604105571848,0.6306451612903226,0.6356304985337243,0.5788856304985337
0.9999999999999999,0.5466275659824047,0.614516129032258,0.6275659824046921,0.6497067448680351,0.6750733137829912,0.6093841642228739,0.6174486803519061,0.5982404692082112,0.5596774193548386
