Repair Level,A,B,C,Random
0.0,0.9980334316617503,0.9980334316617503,0.9980334316617503,0.9980334316617503
0.1,0.9882005899705015,0.9891838741396264,0.9751103068786879,0.9780956696485285
0.2,0.984267453294002,0.983284169124877,0.9563243777451683,0.9636850049664353
0.30000000000000004,0.9714847590953786,0.9759095378564405,0.9237709698102752,0.9616674218849247
0.4,0.9532940019665683,0.9498525073746312,0.8995259630033079,0.9576322557219036
0.5,0.9213372664700098,0.9183874139626352,0.840454891463633,0.9576322557219036
0.6,0.8800053215379244,0.876072184861425,0.7982541954624887,0.9571236087229209
0.7,0.8121247040394675,0.7708947885939037,0.7297228899151855,0.9571236087229209
0.7999999999999999,0.6710404306844677,0.6676159410069511,0.6631241428772916,0.9566149617239382
0.8999999999999999,0.5796460176991151,0.5732546705998034,0.5807233290420932,0.9566149617239382
0.9999999999999999,0.5,0.5,0.5,0.5
