Repair Level,A,B,C,Random
0.0,0.999498997995992,0.999498997995992,0.999498997995992,0.999498997995992
0.1,0.9534768139072556,0.999498997995992,0.999498997995992,0.998997995991984
0.2,0.9279217116868468,0.999498997995992,0.996993987975952,0.9979959919839679
0.30000000000000004,0.9038676154704619,0.9960059840239361,0.9889779559118237,0.996993987975952
0.4,0.8677894711578846,0.9885209540838163,0.9804609218436874,0.9959919839679359
0.5,0.816184264737059,0.9815349261397046,0.9724448897795591,0.9944889779559118
0.6,0.7730940923763695,0.9740478961915847,0.9639278557114228,0.9914829659318637
0.7,0.7194768779075116,0.9535888143552574,0.9393787575150301,0.9874749498997996
0.7999999999999999,0.6578396313585255,0.9156446625786503,0.8962925851703407,0.9784569138276553
0.8999999999999999,0.5816813267253069,0.8023252093008372,0.7660500642002568,0.9524048096192385
0.9999999999999999,0.5,0.5274841099364398,0.5208290833163333,0.5
