Repair Level,A,B,C,Random,Constant
0.0,0.9994974874371859,0.9994974874371859,0.9994974874371859,0.9994974874371859,0.9994974874371859
0.1,0.9825870646766169,0.9825870646766169,0.9990049751243781,0.9979899497487437,0.9970149253731343
0.2,0.9815820395509888,0.9820745518637966,0.9940298507462687,0.9964824120603015,0.9925373134328358
0.30000000000000004,0.979094477361934,0.972636815920398,0.995502387559689,0.9914572864321608,0.9935323383084577
0.4,0.9736018400460011,0.9686567164179104,0.9895072376809421,0.9869346733668342,0.9925373134328358
0.5,0.9656116402910073,0.9447761194029851,0.9845371134278357,0.9844221105527639,0.9865671641791045
0.6,0.9561189029725743,0.9469586739668492,0.9780394509862746,0.9844221105527639,0.9890547263681592
0.7,0.9529588239705993,0.9468936723418085,0.9565614140353509,0.9753768844221106,0.945273631840796
0.7999999999999999,0.9227630690767269,0.904657616440411,0.9199979999499988,0.957286432160804,0.9885572139303482
0.8999999999999999,0.7277131928298207,0.7630190754768869,0.8240331008275207,0.9035175879396985,0.93681592039801
0.9999999999999999,0.4971599289982249,0.5138078451961299,0.5231080777019426,0.5,0.5
