A,B,C,Random,Constant,admit
2947,5894,-2433,1.4288577078135674,0.9992207726432148,False
2950,5900,-2433,-0.7076694656187807,1.0111793382272716,True
2854,5708,-2433,3.0768603701805035,1.0063818699884857,True
2695,5390,-2433,-1.276304416538336,1.0101562788399447,True
2795,5590,-2433,-0.7908993816675531,0.9994849080624607,True
2951,5902,-2433,1.0901834710204468,1.0088484258280115,True
2850,5700,-2433,-0.28487549336967083,1.0046079724361596,True
2696,5392,-2433,0.18517553682991406,0.9954077960201076,True
2904,5808,-2433,0.9495945713644882,0.9914447231205937,False
2785,5570,-2433,1.1096998419562232,1.0172569379281478,False
2816,5632,-2433,-0.2666523292344148,1.0129869329099341,False
2987,5974,-2433,1.368079350488601,0.9957000859138516,False
2769,5538,-2433,-1.0461210850625042,0.9992207726432148,True
2771,5542,-2433,1.0143700650181304,0.9921985611861223,True
2816,5632,-2433,-0.057390703001542406,1.0057535672452012,False
2869,5738,-2433,-0.11473644146689901,0.9965590197173767,True
2673,5346,-2433,-0.016610342325908987,1.0029165893318905,True
2977,5954,-2433,-0.4911537471421047,0.9969093376326174,False
2660,5320,-2433,0.7569886166453519,0.9942481355035648,False
2890,5780,-2433,-0.5376457577798165,0.9831196567480233,True
2840,5680,-2433,-1.2141886127877322,0.9858317647205082,True
2729,5458,-2433,-0.05739536507403601,1.006932176016587,False
2756,5512,-2433,1.775310892609512,1.0029967197733793,True
2852,5704,-2433,0.44426331148603976,1.0039329513816648,True
2631,5262,-2433,-1.2208436499710222,1.0174486140662349,False
2705,5410,-2433,-0.4108142879545848,0.9902173435073376,True
2751,5502,-2433,1.7269638512334051,0.9848558593760188,True
2964,5928,-2433,0.3376026620752022,1.0053420786237468,False
2877,5754,-2433,0.6928575842374367,1.0271481693948632,True
2826,5652,-2433,-0.03564148229748357,0.9865951135863357,True
2744,5488,-2433,0.8622235118869771,0.9920428233647939,False
2764,5528,-2433,0.8282296901846228,0.9939917036090409,False
2951,5902,-2433,-0.4108142879545848,0.9932394563345119,False
2646,5292,-2433,-0.7908993816675531,0.9941925890944355,False
2893,5786,-2433,1.3621324036850793,0.9979979874569963,True
2966,5932,-2433,1.167509822986446,1.0039329513816648,True
2633,5266,-2433,0.3696421921980939,0.9848558593760188,True
2953,5906,-2433,-0.6176518954343502,0.9985063850435036,True
2726,5452,-2433,-0.7170161491279362,0.9784708648424248,True
2947,5894,-2433,0.3112501545435361,1.0120750319495193,True
2888,5776,-2433,-0.8515399797793188,0.9995850889542262,False
2911,5822,-2433,-0.4911537471421047,1.0120750319495193,False
2765,5530,-2433,-0.8110008636288448,0.9841415435961415,True
2942,5884,-2433,-1.2141886127877322,0.9994116714586848,False
2687,5374,-2433,0.02620475277403566,0.9864713411103596,False
2781,5562,-2433,-1.1509935774223028,1.0059074433551032,True
2760,5520,-2433,0.5995775412453558,1.0098459289489579,False
2658,5316,-2433,0.0976703767483354,1.0001783225452976,False
2917,5834,-2433,-0.7955570679408823,0.9957743158097878,True
2801,5602,-2433,0.13988723283912738,0.9960288466843215,False
2937,5874,-2433,-0.6671890847775054,1.0024140911637005,True
2826,5652,-2433,1.0488641418753621,1.0085071939446064,False
2783,5566,-2433,-1.183056184734389,0.9881976826579963,False
2922,5844,-2433,-0.6929095952606542,1.006072890151017,False
2756,5512,-2433,-0.07201012158033385,0.9971684811512013,False
2922,5844,-2433,-0.057390703001542406,0.9941042100406388,False
2696,5392,-2433,0.9256722095027217,1.0095881630646768,False
2620,5240,-2433,0.020793707675407894,0.9801916352907737,False
2771,5542,-2433,0.2106684652031108,0.9892967945134816,True
2703,5406,-2433,0.07227896538428889,0.9884629367636963,False
2739,5478,-2433,0.8108082731597821,1.0085983356146746,True
2942,5884,-2433,0.7591551603026468,1.0053420786237468,True
2749,5498,-2433,0.2106684652031108,1.0097726337030313,True
2687,5374,-2433,1.1526481032616924,1.0123232860521467,True
2785,5570,-2433,0.8622235118869771,0.9884139673634051,True
2742,5484,-2433,-0.48720292119492714,0.9859108089730948,True
2943,5886,-2433,-0.29660745906979835,0.9935510414135567,True
2623,5246,-2433,1.540323979819886,1.003090544381043,True
2951,5902,-2433,-1.1115802495135512,1.0236540777199998,True
2900,5800,-2433,0.8891538247878059,1.0081026004437534,True
2812,5624,-2433,-0.9799255747822445,0.9951336881181073,True
2855,5710,-2433,0.6928575842374367,0.9957743158097878,True
2622,5244,-2433,-2.025807873111377,1.0115499756054163,True
2942,5884,-2433,2.0574954697116987,1.0005305931293262,True
2688,5376,-2433,0.014149264965758293,1.0188928245425026,True
2646,5292,-2433,-0.46531045678005334,1.0033323053499001,True
2742,5484,-2433,-0.00811320161175029,1.0008939527893161,False
2929,5858,-2433,-0.8516621743343933,1.0101562788399447,True
2978,5956,-2433,-0.5347566708443231,1.0045134754786462,True
2774,5548,-2433,0.4070522871245351,1.011273500893555,True
2929,5858,-2433,0.29094736433948537,1.0025373729677483,True
2657,5314,-2433,0.18517553682991406,1.0073994405137932,False
2652,5304,-2433,0.32692737376416264,1.0019298964177292,True
2924,5848,-2433,-0.6654222981294605,1.0013807840841755,False
2977,5954,-2433,-0.8516621743343933,1.011910906831462,True
2787,5574,-2433,-1.6320148850264173,1.020598450017374,False
2969,5938,-2433,-0.08310557262869477,1.0120750319495193,False
2814,5628,-2433,-0.5347566708443231,0.9988701887689339,False
2856,5712,-2433,-2.2012434734509183,0.9961722159829044,True
2678,5356,-2433,-0.11806852699107874,1.020598450017374,True
2943,5886,-2433,-0.13826430117118466,1.0033323053499001,False
2718,5436,-2433,1.0488641418753621,1.0020792006738395,False
2943,5886,-2433,1.540323979819886,0.9980701863223931,False
2953,5906,-2433,-1.6270049208667487,0.9892967945134816,True
2720,5440,-2433,0.5161782871149584,0.9922938204987466,True
2737,5474,-2433,-0.6671890847775054,0.9943255271877165,False
2792,5584,-2433,-0.3020454994898642,1.0075950003751613,False
2965,5930,-2433,0.7533416211045325,0.9977998197234033,False
2698,5396,-2433,0.5773635251066616,0.9987259312761004,False
2659,5318,-2433,-1.801057734152739,0.9961722159829044,False
2872,5744,-2433,0.10343812930810638,0.9936913648931659,True
2898,5796,-2433,0.5008315910042116,0.9951336881181073,True
2846,5692,-2433,-0.4108142879545848,0.9985063850435036,True
2894,5788,-2433,-0.8110008636288448,0.9974737513119736,True
2698,5396,-2433,0.5055892418358746,0.9941042100406388,True
2776,5552,-2433,-1.2308643164339552,0.9908951329646848,False
2661,5322,-2433,-0.9799255747822445,0.9989794360937115,True
2945,5890,-2433,0.06167984984797165,1.0139543408219918,False
2726,5452,-2433,-1.5947030672667954,1.006932176016587,False
2923,5846,-2433,2.1531824575115563,1.0141376964829125,True
2668,5336,-2433,-0.6654222981294605,0.9960288466843215,False
2622,5244,-2433,-0.7589706989033448,1.0045134754786462,True
2836,5672,-2433,-0.5976676832548571,0.9925118832897643,True
2939,5878,-2433,-0.4108142879545848,0.9919970671839262,True
2853,5706,-2433,0.4877748210843382,1.0020792006738395,True
2836,5672,-2433,0.249548189598077,1.0016663789531184,True
2738,5476,-2433,0.5462842480036996,0.9894185356870558,False
2751,5502,-2433,-0.016610342325908987,1.0010618291944022,True
2982,5964,-2433,-0.7538621136909615,1.0220201392465962,True
2965,5930,-2433,1.6725723868377034,1.003090544381043,True
2903,5806,-2433,-0.08310557262869477,1.013558053394315,True
2698,5396,-2433,0.4877748210843382,0.9910197277367554,False
2620,5240,-2433,-0.13826430117118466,0.9932394563345119,False
2654,5308,-2433,0.29094736433948537,1.0007991526374003,False
2921,5842,-2433,-0.5376457577798165,0.9955034980615719,True
2876,5752,-2433,0.043602446372453724,1.0118189004255889,True
2831,5662,-2433,-0.3020454994898642,1.0015403184168359,False
2649,5298,-2433,-2.6042138566271342,1.0073994405137932,False
2659,5318,-2433,0.14959795751878804,1.013558053394315,False
2807,5614,-2433,-0.9564363768180087,1.0075950003751613,True
2627,5254,-2433,-0.2628908292082677,1.0008939527893161,True
2822,5644,-2433,1.6964563682900382,0.9831196567480233,False
2835,5670,-2433,-1.4974466686057486,0.9908951329646848,True
2911,5822,-2433,1.167509822986446,0.9831196567480233,True
2711,5422,-2433,1.167509822986446,1.0046079724361596,False
2914,5828,-2433,-1.8707919210258557,1.0025373729677483,True
2850,5700,-2433,-0.7538621136909615,1.0129500714993842,True
2982,5964,-2433,-0.26451484131061076,0.9941042100406388,True
2726,5452,-2433,0.8891538247878059,0.999036153636851,False
2633,5266,-2433,-2.6042138566271342,0.9957000859138516,False
2929,5858,-2433,-0.47622087354465903,0.9866977374435866,True
2990,5980,-2433,-0.38502181171286365,1.0150273432630559,False
2722,5444,-2433,-1.2141886127877322,1.0026805042758975,False
2728,5456,-2433,-2.2012434734509183,1.013886645201025,False
2906,5812,-2433,1.2378163119734618,1.0035641258353438,True
2764,5528,-2433,0.8496119885162131,1.0038505516793783,False
2943,5886,-2433,0.1755362295785979,0.9928680769563387,True
2662,5324,-2433,-0.20219265243389406,0.9980701863223931,True
2760,5520,-2433,0.25988279424842353,1.0047900314339275,False
2674,5348,-2433,-0.370508098590029,0.9983585058727823,False
2951,5902,-2433,1.540323979819886,0.990322476604529,True
2824,5648,-2433,-0.07201012158033385,1.0085983356146746,False
2970,5940,-2433,0.7077519354554754,0.9977998197234033,False
2789,5578,-2433,2.1531824575115563,0.999036153636851,False
2961,5922,-2433,-0.20219265243389406,1.022919112668187,True
2914,5828,-2433,-1.3525086894407223,1.0038505516793783,True
2921,5842,-2433,-0.7908993816675531,0.9896126556583733,True
2964,5928,-2433,-0.7589706989033448,1.0020792006738395,True
2726,5452,-2433,0.4070522871245351,1.006932176016587,True
2761,5522,-2433,-0.8176823966051338,0.9864713411103596,False
2824,5648,-2433,0.4070522871245351,0.9940469430230602,False
2672,5344,-2433,0.6549755842216898,0.9789541720123467,True
2658,5316,-2433,-0.28744751940035557,1.0151933635109065,True
2745,5490,-2433,2.5797093376543185,1.006314186062724,True
2623,5246,-2433,1.2378163119734618,1.0115499756054163,False
2721,5442,-2433,-0.18565897666381712,0.9942481355035648,False
2834,5668,-2433,-0.5976676832548571,0.9993276969280387,True
2749,5498,-2433,-0.2666523292344148,0.9994849080624607,True
2876,5752,-2433,0.4795075480016086,0.9859108089730948,False
2937,5874,-2433,0.5161782871149584,1.0040609401884866,False
2846,5692,-2433,0.632407739055521,0.9881976826579963,False
2947,5894,-2433,-2.899513879868482,1.0010908297034984,False
2893,5786,-2433,0.9134737320174066,1.0141376964829125,True
2962,5924,-2433,-0.3078084711388841,1.0081026004437534,False
2822,5644,-2433,-0.9799255747822445,0.9902173435073376,True
2893,5786,-2433,1.5737342165551063,0.9960959126171953,False
2677,5354,-2433,-1.6320148850264173,1.0043036264150649,False
2658,5316,-2433,-0.03703679704841202,0.9865951135863357,True
2706,5412,-2433,-0.48720292119492714,0.9919970671839262,True
2834,5668,-2433,-0.4911537471421047,1.0000358260183277,False
2909,5818,-2433,-0.7076694656187807,1.0010618291944022,True
2673,5346,-2433,1.5737342165551063,0.9912927222835626,False
2636,5272,-2433,-1.8707919210258557,0.9851213829650938,True
2953,5906,-2433,1.368079350488601,0.9928868008945343,False
2967,5934,-2433,-1.079842447781487,1.0015403184168359,True
2822,5644,-2433,-1.079842447781487,1.0110646177081206,False
2949,5898,-2433,0.39241596717876703,1.0038505516793783,True
2679,5358,-2433,0.18517553682991406,0.9967219354012348,False
2883,5766,-2433,1.9114190871397234,1.0039752775657316,False
2799,5598,-2433,0.44426331148603976,1.0009715578708624,True
2920,5840,-2433,-1.3525086894407223,0.9859108089730948,False
2821,5642,-2433,0.249548189598077,0.9941925890944355,True
2803,5606,-2433,-1.801057734152739,1.0143636803424376,True
2728,5456,-2433,-0.47622087354465903,1.0090654415710996,True
2914,5828,-2433,0.1847104747810833,0.9927160968675829,False
2987,5974,-2433,-1.0363092473737703,0.9977419325092396,False
2824,5648,-2433,-0.7170161491279362,0.9859108089730948,False
2854,5708,-2433,-0.5924642591528942,0.9914838275981329,True
2772,5544,-2433,-0.5347566708443231,0.9858317647205082,True
2674,5348,-2433,-1.5137143926128271,1.0101562788399447,True
2900,5800,-2433,-0.6083507646793376,0.9985063850435036,False
2665,5330,-2433,-1.3650217954266353,0.9920428233647939,False
2830,5660,-2433,-0.32789471651291785,0.9884139673634051,False
2716,5432,-2433,-0.8516621743343933,0.9877500011133995,False
