Repair Level,Position,Oral,Written,Race,Combine
0.0,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9830508474576272
0.1,1.0,0.9661016949152542,1.0,1.0,0.8305084745762712
0.2,1.0,0.9322033898305084,0.9830508474576272,1.0,0.8135593220338984
0.30000000000000004,0.9830508474576272,0.9322033898305084,0.9661016949152542,0.9661016949152542,0.7796610169491526
0.4,0.9830508474576272,0.9152542372881356,0.9152542372881356,0.9661016949152542,0.8305084745762712
0.5,0.9830508474576272,0.8813559322033898,0.8983050847457628,0.9322033898305084,0.8135593220338984
0.6,0.9830508474576272,0.847457627118644,0.847457627118644,0.8983050847457628,0.711864406779661
0.7,0.9661016949152542,0.847457627118644,0.7796610169491526,0.8983050847457628,0.6610169491525424
0.7999999999999999,0.9661016949152542,0.8305084745762712,0.711864406779661,0.8813559322033898,0.6271186440677966
0.8999999999999999,0.9661016949152542,0.7288135593220338,0.6779661016949152,0.8813559322033898,0.559322033898305
0.9999999999999999,0.9661016949152542,0.7288135593220338,0.6779661016949152,0.8813559322033898,0.5423728813559322
