Repair Level,Position,Oral,Written,Race,Combine
0.0,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.9814814814814815
0.1,1.0,0.962962962962963,1.0,1.0,0.8148148148148149
0.2,1.0,0.9288194444444444,0.984375,1.0,0.7962962962962963
0.30000000000000004,0.984375,0.9288194444444444,0.96875,0.96875,0.7592592592592593
0.4,0.984375,0.9131944444444444,0.921875,0.96875,0.8148148148148149
0.5,0.984375,0.8790509259259259,0.9033564814814815,0.9375,0.7962962962962963
0.6,0.984375,0.8449074074074074,0.853587962962963,0.9033564814814815,0.6851851851851851
0.7,0.96875,0.8449074074074074,0.7881944444444444,0.9033564814814815,0.6296296296296297
0.7999999999999999,0.96875,0.8263888888888888,0.7256944444444444,0.884837962962963,0.5925925925925926
0.8999999999999999,0.96875,0.7152777777777778,0.6944444444444444,0.884837962962963,0.5185185185185186
0.9999999999999999,0.96875,0.7152777777777778,0.6944444444444444,0.884837962962963,0.5
